team,group,squad_number,position,player,date_of_birth,age,caps,goals,club,player_count,wiki_link,birthplace,lon,lat
Belgium,G,15,DF,Thomas Meunier,1991-09-12,26,23,5,Paris Saint-Germain,1,https://en.wikipedia.org/wiki/Thomas_Meunier,"Sainte-Ode, Belgium",5.54655,50.02683
Belgium,G,16,MF,Thorgan Hazard,1993-03-29,25,8,1,Borussia Mönchengladbach,1,https://en.wikipedia.org/wiki/Thorgan_Hazard,"La Louvière, Belgium",4.1837388,50.4747995
Belgium,G,17,MF,Youri Tielemans,1997-05-07,21,7,0,Monaco,1,https://en.wikipedia.org/wiki/Youri_Tielemans,"Sint-Pieters-Leeuw, Belgium",4.243679999999999,50.77979999999999
Belgium,G,18,FW,Adnan Januzaj,1995-02-05,23,7,0,Real Sociedad,1,https://en.wikipedia.org/wiki/Adnan_Januzaj,"Brussels, Belgium",4.3517211,50.8503463
Belgium,G,19,MF,Mousa Dembélé,1987-07-16,30,74,5,Tottenham Hotspur,1,https://en.wikipedia.org/wiki/Mousa_Demb%C3%A9l%C3%A9_(Belgian_footballer),"Antwerp, Belgium",4.4024643,51.2194475
Belgium,G,20,DF,Dedryck Boyata,1990-11-28,27,5,0,Celtic,1,https://en.wikipedia.org/wiki/Dedryck_Boyata,"Uccle, Brussels, Belgium",4.340669999999999,50.8023982
Belgium,G,21,FW,Michy Batshuayi,1993-10-02,24,13,5,Borussia Dortmund,1,https://en.wikipedia.org/wiki/Michy_Batshuayi,"Brussels, Belgium",4.3517211,50.8503463
Belgium,G,22,MF,Nacer Chadli,1989-08-02,28,41,4,West Bromwich Albion,1,https://en.wikipedia.org/wiki/Nacer_Chadli,"Liège, Belgium",5.5796662,50.6325574
Belgium,G,23,DF,Leander Dendoncker,1995-04-15,23,4,0,Anderlecht,1,https://en.wikipedia.org/wiki/Leander_Dendoncker,"Passendale, Belgium",3.0207328,50.9002575
England,G,1,GK,Jordan Pickford,1994-03-07,24,3,0,Everton,1,https://en.wikipedia.org/wiki/Jordan_Pickford,"Washington, England",-1.517366,54.89743199999999
England,G,2,DF,Kyle Walker,1990-05-28,28,35,0,Manchester City,1,https://en.wikipedia.org/wiki/Kyle_Walker,"Sheffield, England",-1.470085,53.38112899999999
England,G,3,DF,Danny Rose,1990-07-02,27,17,0,Tottenham Hotspur,1,"https://en.wikipedia.org/wiki/Danny_Rose_(footballer,_born_1990)","Doncaster, England",-1.128462,53.52282
England,G,4,MF,Eric Dier,1994-01-15,24,26,3,Tottenham Hotspur,1,https://en.wikipedia.org/wiki/Eric_Dier,"Cheltenham, England",-2.0782533,51.8993855
England,G,5,DF,John Stones,1994-05-28,24,25,0,Manchester City,1,https://en.wikipedia.org/wiki/John_Stones,"Barnsley, England",-1.479726,53.55263
England,G,6,DF,Harry Maguire,1993-03-05,25,4,0,Leicester City,1,https://en.wikipedia.org/wiki/Harry_Maguire,"Sheffield, England",-1.470085,53.38112899999999
England,G,7,MF,Jesse Lingard,1992-12-15,25,11,1,Manchester United,1,https://en.wikipedia.org/wiki/Jesse_Lingard,"Warrington, England",-2.5969501,53.3900441
England,G,8,MF,Jordan Henderson,1990-06-17,27,38,0,Liverpool,1,https://en.wikipedia.org/wiki/Jordan_Henderson,"Sunderland, England",-1.4785737,54.8861515
